Indice,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Gasto promedio en vivienda (2011-2024),,,,,,,
"(Promedio, pesos corrientes)",,,,,,,
,,,,,,,
Estimación,,,,,,,
Categoría,Desagregación,2011.0,2013.0,2015.0,2017.0,2022.0,2024.0
gviv_pesos,Nacional,142094.0,173884.0,196853.0,179397.0,349833.0,405186.0
,,,,,,,
,,,,,,,
Error estándar,,,,,,,
Categoría,Desagregación,2011.0,2013.0,2015.0,2017.0,2022.0,2024.0
gviv_pesos,Nacional,3249.0,3025.0,3137.0,3317.0,2780.0,3133.0
,,,,,,,
,,,,,,,
Población expandida,,,,,,,
Categoría,Desagregación,2011.0,2013.0,2015.0,2017.0,2022.0,2024.0
gviv_pesos,Nacional,1575770.0,1786294.0,1930095.0,2688953.0,2749150.0,2854281.0
,,,,,,,
,,,,,,,
Casos muestrales,,,,,,,
Categoría,Desagregación,2011.0,2013.0,2015.0,2017.0,2022.0,2024.0
gviv_pesos,Nacional,13985.0,16842.0,20833.0,24964.0,20232.0,23849.0
,,,,,,,
Notas:,,,,,,,
a. La serie no cuenta con el valor correspondiente al año 2020 debido a que hubo restricciones para levantar las variables necesarias para su estimación en la encuesta Casen en Pandemia 2020.,,,,,,,
"Fuente: Ministerio de Desarrollo Social y Familia, Encuesta Casen.",,,,,,,
